discount_rate,quantity_change,issue_type,issue_code,price,invoice_code,product_code,discount,quantity,unit,pkg_quantity
"[1.5152, 0, 0]",0,1,Bán,58800,HD.635290.2305.0001,DAUR025001,"[1158181.2480000001, 1176000, 1176000]",20,Chai,1.33
"[1.5152, 0, 0]",0,1,Bán,58800,HD.635470.2305.0001,DAUR025001,"[636999.6864000001, 646800, 646800]",11,Chai,0.73
"[1.5152, 0, 0]",0,1,Bán,58800,HD.635537.2305.0001,DAUR025001,"[868635.9360000001, 882000, 882000]",15,Chai,1.0
"[1.5152, 0, 0]",0,1,Bán,58800,HD.635260.2305.0001,DAUR025001,"[1158181.2480000001, 1176000, 1176000]",20,Chai,1.33
"[1.5152, 0, 0]",0,1,Bán,58800,HD.635350.2305.0001,DAUR025001,"[636999.6864000001, 646800, 646800]",11,Chai,0.73
"[1.5152, 0, 0]",0,1,Bán,58800,HD.635420.2305.0001,DAUR025001,"[868635.9360000001, 882000, 882000]",15,Chai,1.0
"[1.5152, 0, 0]",0,1,Bán,58800,HD.635380.2305.0001,DAUR025001,"[810726.8736000002, 823200, 823200]",14,Chai,0.93
"[1.5152, 0, 0]",0,1,Bán,66000,HD.637516.2305.0001,DAUR025001,"[974999.5200000001, 990000, 990000]",15,Chai,1.0
"[1.5152, 0, 0]",0,1,Bán,66000,HD.637514.2305.0001,DAUR025001,"[194999.90400000004, 198000, 198000]",3,Chai,0.2
"[1.5152, 0, 0]",0,1,Bán,66000,HD.637510.2305.0001,DAUR025001,"[259999.87200000003, 264000, 264000]",4,Chai,0.27
"[1.5152, 0, 0]",0,1,Bán,66000,HD.006374.VPH.2305.0001,DAUR025001,"[2534998.7520000003, 2574000, 2574000]",39,Chai,2.6
"[1.5152, 0, 0]",0,1,Bán,65000,HD.006381.2305.0001,DAUR025001,"[128030.24, 130000, 130000]",2,Chai,0.13
"[1.5152, 0, 0]",0,1,Bán,65000,HD.006366.2305.0001,DAUR025001,"[5633330.560000001, 5720000, 5720000]",88,Chai,5.87
"[1.5152, 0, 0]",0,1,Bán,65000,HD.636620.2305.0001,DAUR025001,"[64015.12, 65000, 65000]",1,Chai,0.07
"[1.5152, 0, 0]",0,1,Bán,65000,HD.636880.2305.0001,DAUR025001,"[64015.12, 65000, 65000]",1,Chai,0.07
"[1.5152, 0, 0]",0,1,Bán,65000,HD.636870.2305.0001,DAUR025001,"[64015.12, 65000, 65000]",1,Chai,0.07
"[1.5152, 0, 0]",0,1,Bán,650000,HD.636866.2305.0001,DAUR025001,"[6401512, 6500000, 6500000]",10,Chai,0.67
"[1.5152, 0, 0]",0,1,Bán,65000,HD.636830.2305.0001,DAUR025001,"[512120.96, 520000, 520000]",8,Chai,0.53
"[1.5152, 0, 0]",0,1,Bán,60000,HD.636640.2305.0001,DAUR025001,"[590908.8, 600000, 600000]",10,Chai,0.67
"[1.5152, 0, 0]",0,1,Bán,65000,HD.006366.VPH.2305.0001,DAUR025001,"[1088257.04, 1105000, 1105000]",17,Chai,1.13
"[1.5152, 0, 0]",0,1,Bán,66000,HD.006370.VPH.2305.0002,DAUR025001,"[324999.84, 330000, 330000]",5,Chai,0.33
"[1.5152, 0, 0]",0,1,Bán,66000,HD.006370.VPH.2305.0001,DAUR025001,"[519999.74400000006, 528000, 528000]",8,Chai,0.53
"[1.5152, 0, 0]",0,1,Bán,65000,HD.638101.2305.0001,DAUR025001,"[128030.24, 130000, 130000]",2,Chai,0.13
"[1.5152, 0, 0]",0,1,Bán,65000,HD.636790.2305.0001,DAUR025001,"[640151.2000000001, 650000, 650000]",10,Chai,0.67
"[1.5152, 0, 0]",0,1,Bán,66000,HD.637080.2305.0001,DAUR025001,"[324999.84, 330000, 330000]",5,Chai,0.33
"[1.5152, 0, 0]",0,1,Bán,66000,HD.637220.2305.0001,DAUR025001,"[974999.5200000001, 990000, 990000]",15,Chai,1.0
"[1.5152, 0, 0]",0,1,Bán,66000,HD.637020.2305.0001,DAUR025001,"[974999.5200000001, 990000, 990000]",15,Chai,1.0
"[1.5152, 0, 0]",0,1,Bán,66000,HD.637200.2305.0001,DAUR025001,"[259999.87200000003, 264000, 264000]",4,Chai,0.27
"[1.5152, 0, 0]",0,1,Bán,66000,HD.637420.2305.0001,DAUR025001,"[194999.90400000004, 198000, 198000]",3,Chai,0.2
