code,status,issue_on,created_on,org,total_value,total_quantity,src_stock_code,src_stock,vendor_id,payment_type,note_type,channel,total_discount,seq,src_ancestors,so_chung_tu
HD.661950.2403.0011,12,,2024-03-17 07:56:11,btcom,1082500,13,661950,9906,1,TM,3,VNPOST,0,24030011,"[33, 9892, 9896]",XKB6610021275
HD.675800.2403.0010,12,,2024-03-17 07:56:11,btcom,528000,7,675800,10152,1,TM,3,VNPOST,0,24030010,"[33, 9979, 10150]",XKB6710024005
HD.271500.2403.0052,12,,2024-03-17 09:52:21,btcom,10500,1,271500,2739,1,TM,3,VNPOST,0,24030052,"[33, 2709, 2737]",XKB2710041357
HD.271500.2403.0053,12,,2024-03-17 09:52:21,btcom,107000,1,271500,2739,1,TM,3,VNPOST,0,24030053,"[33, 2709, 2737]",XKB2710041358
HD.276700.2403.0025,12,,2024-03-17 09:52:21,btcom,39000,2,276700,2902,1,TM,3,VNPOST,0,24030025,"[33, 2709, 2900]",XKB2710041356
HD.277800.2403.0028,12,,2024-03-17 09:52:21,btcom,133000,1,277800,2933,1,TM,3,VNPOST,0,24030028,"[33, 2709, 2931]",XKB2710041355
HD.293880.2403.0004,12,,2024-03-17 09:52:21,btcom,480000,8,293880,3190,1,TM,3,VNPOST,0,24030004,"[33, 3112, 3179]",XKB2910052945
HD.294730.2403.0002,12,,2024-03-17 09:52:21,btcom,5677600,148,294730,3232,1,TM,3,VNPOST,0,24030002,"[33, 3112, 3216]",XKB2910052947
HD.294750.2403.0001,12,,2024-03-17 09:52:21,btcom,2290550,45,294750,3233,1,TM,3,VNPOST,0,24030001,"[33, 3112, 3216]",XKB2910052946
HD.314670.2403.0001,12,,2024-03-17 09:52:21,btcom,1085000,20,314670,3760,1,TM,3,VNPOST,0,24030001,"[33, 3596, 3744]",XKB3110016331
HD.334700.2403.0001,12,,2024-03-17 09:52:21,btcom,76000,1,334700,4171,1,TM,3,VNPOST,0,24030001,"[33, 4029, 4169]",XKB3310015500
HD.334700.2403.0002,12,,2024-03-17 09:52:21,btcom,273000,3,334700,4171,1,TM,3,VNPOST,0,24030002,"[33, 4029, 4169]",XKB3310015501
HD.334700.2403.0003,12,,2024-03-17 09:52:21,btcom,10500,1,334700,4171,1,TM,3,VNPOST,0,24030003,"[33, 4029, 4169]",XKB3310015502
HD.334700.2403.0004,12,,2024-03-17 09:52:21,btcom,90000,3,334700,4171,1,TM,3,VNPOST,0,24030004,"[33, 4029, 4169]",XKB3310015503
HD.334700.2403.0005,12,,2024-03-17 09:52:21,btcom,133000,1,334700,4171,1,TM,3,VNPOST,0,24030005,"[33, 4029, 4169]",XKB3310015504
HD.334700.2403.0006,12,,2024-03-17 09:52:21,btcom,74500,1,334700,4171,1,TM,3,VNPOST,0,24030006,"[33, 4029, 4169]",XKB3310015505
HD.334700.2403.0007,12,,2024-03-17 09:52:21,btcom,34000,1,334700,4171,1,TM,3,VNPOST,0,24030007,"[33, 4029, 4169]",XKB3310015506
HD.334700.2403.0008,12,,2024-03-17 09:52:21,btcom,109000,1,334700,4171,1,TM,3,VNPOST,0,24030008,"[33, 4029, 4169]",XKB3310015507
HD.334700.2403.0009,12,,2024-03-17 09:52:21,btcom,117000,3,334700,4171,1,TM,3,VNPOST,0,24030009,"[33, 4029, 4169]",XKB3310015508
HD.334700.2403.0010,12,,2024-03-17 09:52:22,btcom,42000,1,334700,4171,1,TM,3,VNPOST,0,24030010,"[33, 4029, 4169]",XKB3310015510
HD.334700.2403.0011,12,,2024-03-17 09:52:22,btcom,173000,1,334700,4171,1,TM,3,VNPOST,0,24030011,"[33, 4029, 4169]",XKB3310015516
HD.334700.2403.0012,12,,2024-03-17 09:52:22,btcom,1134000,18,334700,4171,1,TM,3,VNPOST,0,24030012,"[33, 4029, 4169]",XKB3310015518
HD.334807.2403.0001,12,,2024-03-17 09:52:22,btcom,292000,14,334807,4176,1,TM,3,VNPOST,0,24030001,"[33, 4029, 4169]",XKB3310015526
HD.335050.2403.0001,12,,2024-03-17 09:52:22,btcom,396000,53,335050,4186,1,TM,3,VNPOST,0,24030001,"[33, 4029, 4169]",XKB3310015509
HD.335180.2403.0001,12,,2024-03-17 09:52:22,btcom,1384000,8,335180,4190,1,TM,3,VNPOST,0,24030001,"[33, 4029, 4169]",XKB3310015527
HD.351170.2403.0002,12,,2024-03-17 09:52:22,btcom,1334250,22,351170,4226,1,TM,3,VNPOST,0,24030002,"[33, 4211, 4215]",XKB3510075902
