code,status,issue_on,created_on,org,total_value,total_quantity,src_stock_code,src_stock,vendor_id,payment_type,note_type,channel,total_discount,seq,src_ancestors,so_chung_tu
HD.006381.2306.0001,12,,2024-03-20 13:59:21,btcom,2178000,33,006381,242,1,TM,3,WEB,0,23060001,"[1, 95]",
HD.636680.2306.0001,12,,2024-03-20 13:58:09,btcom,1188000,18,636680,13137,1,TM,3,WEB,0,23060001,"[1, 95, 242]",
HD.636661.2306.0001,12,,2024-03-20 08:53:47,btcom,528000,8,636661,17749,1,TM,3,WEB,0,23060001,"[1, 95, 242]",
HD.636710.2306.0001,12,,2024-03-20 08:51:43,btcom,1320000,20,636710,6607,1,TM,3,WEB,0,23060001,"[1, 95, 242]",
HD.638101.2306.0001,12,,2024-03-20 08:46:21,btcom,132000,2,638101,10057,1,TM,3,WEB,0,23060001,"[1, 95, 242]",
HD.636732.2306.0001,12,,2024-03-20 08:45:34,btcom,594000,9,636732,11158,1,TM,3,WEB,0,23060001,"[1, 95, 242]",
HD.636750.2306.0001,12,,2024-03-20 08:44:56,btcom,1782000,27,636750,13138,1,TM,3,WEB,0,23060001,"[1, 95, 242]",
HD.636730.2306.0001,12,,2024-03-20 08:44:19,btcom,1386000,21,636730,9580,1,TM,3,WEB,0,23060001,"[1, 95, 242]",
HD.636790.2306.0001,12,,2024-03-20 08:27:14,btcom,264000,4,636790,10769,1,TM,3,WEB,0,23060001,"[1, 95, 242]",
HD.636760.2306.0001,12,,2024-03-20 08:26:35,btcom,1056000,16,636760,19042,1,TM,3,WEB,0,23060001,"[1, 95, 242]",
HD.637170.2306.0001,12,,2024-03-20 09:51:16,btcom,528000,8,637170,17221,1,TM,3,WEB,0,23060001,"[1, 95, 338]",
HD.637080.2306.0001,12,,2024-03-20 09:46:03,btcom,132000,2,637080,6603,1,TM,3,WEB,0,23060001,"[1, 95, 338]",
HD.637513.2306.0001,12,,2024-03-20 09:22:42,btcom,990000,15,637513,19041,1,TM,3,WEB,0,23060001,"[1, 95, 241]",
HD.637516.2306.0001,12,,2024-03-20 09:21:45,btcom,990000,15,637516,13136,1,TM,3,WEB,0,23060001,"[1, 95, 241]",
HD.006374.VPH.2306.0001,12,,2024-03-20 09:20:53,btcom,1518000,23,006374.VPH,11520,1,TM,3,WEB,0,23060001,"[1, 95, 241]",
HD.637420.2306.0001,12,,2024-03-20 09:20:19,btcom,264000,4,637420,6491,1,TM,3,WEB,0,23060001,"[1, 95, 241]",
HD.637490.2306.0001,12,,2024-03-20 09:19:33,btcom,264000,4,637490,6606,1,TM,3,WEB,0,23060001,"[1, 95, 241]",
HD.636100.2306.0001,12,,2024-03-20 06:30:54,btcom,1122000,17,636100,19037,1,TM,3,WEB,0,23060001,"[1, 95, 243]",
HD.636040.2306.0001,12,,2024-03-20 06:30:25,btcom,1056000,16,636040,9578,1,TM,3,WEB,0,23060001,"[1, 95, 243]",
HD.636020.2306.0001,12,,2024-03-20 11:31:21,btcom,330000,5,636020,11262,1,TM,3,WEB,0,23060001,"[1, 95, 243]",
HD.006370.VPH.2306.0001,12,,2024-03-20 07:59:49,btcom,264000,4,006370.VPH,10123,1,TM,3,WEB,0,23060001,"[1, 95, 338]",
HD.632330.2306.0001,12,,2024-03-20 07:54:31,btcom,588000,10,632330,7171,1,TM,3,WEB,0,23060001,"[1, 95, 337]",
HD.632260.2306.0001,12,,2024-03-20 07:53:40,btcom,882000,15,632260,7170,1,TM,3,WEB,0,23060001,"[1, 95, 337]",
