code,status,issue_on,created_on,org,total_value,total_quantity,src_stock_code,src_stock,vendor_id,payment_type,note_type,channel,total_discount,seq,src_ancestors,so_chung_tu
HD.637120.2304.0001,12,,2024-03-18 15:32:45,btcom,990000,15,637120,6489,1,TM,3,WEB,0,23040001,"[1, 95, 338]",
HD.637514.2304.0002,12,,2024-03-18 13:50:26,btcom,462000,7,637514,10055,1,TM,3,WEB,0,23040002,"[1, 95, 241]",
HD.637560.2304.0002,12,,2024-03-18 13:49:36,btcom,792000,12,637560,13135,1,TM,3,WEB,0,23040002,"[1, 95, 241]",
HD.637510.2304.0002,12,,2024-03-18 13:49:16,btcom,132000,2,637510,9579,1,TM,3,WEB,0,23040002,"[1, 95, 241]",
HD.637490.2304.0002,12,,2024-03-18 13:48:45,btcom,462000,7,637490,6606,1,TM,3,WEB,0,23040002,"[1, 95, 241]",
HD.630001.2304.0001,12,,2024-03-18 17:56:18,btcom,585000,9,630001,19026,1,TM,3,WEB,0,23040001,"[1, 95, 337]",
HD.006370.VPH.2304.0001,12,,2024-03-18 15:12:35,btcom,1386000,21,006370.VPH,10123,1,TM,3,WEB,0,23040001,"[1, 95, 338]",
HD.635290.2304.0001,12,,2024-03-18 13:30:02,btcom,650000,10,635290,11256,1,TM,3,WEB,0,23040001,"[1, 95, 169]",
HD.635460.2304.0001,12,,2024-03-18 11:26:20,btcom,1300000,20,635460,12201,1,TM,3,WEB,0,23040001,"[1, 95, 169]",
HD.636732.2304.0002,12,,2024-03-18 09:54:01,btcom,130000,2,636732,11158,1,TM,3,WEB,0,23040002,"[1, 95, 242]",
HD.636760.2304.0001,12,,2024-03-18 09:53:34,btcom,845000,13,636760,19042,1,TM,3,WEB,0,23040001,"[1, 95, 242]",
HD.638101.2304.0003,12,,2024-03-18 09:53:12,btcom,130000,2,638101,10057,1,TM,3,WEB,0,23040003,"[1, 95, 242]",
HD.636732.2304.0001,12,,2024-03-18 09:52:40,btcom,195000,3,636732,11158,1,TM,3,WEB,0,23040001,"[1, 95, 242]",
HD.638101.2304.0002,12,,2024-03-18 09:52:14,btcom,130000,2,638101,10057,1,TM,3,WEB,0,23040002,"[1, 95, 242]",
HD.638101.2304.0001,12,,2024-03-18 09:51:47,btcom,130000,2,638101,10057,1,TM,3,WEB,0,23040001,"[1, 95, 242]",
HD.636750.2304.0001,12,,2024-03-18 09:50:09,btcom,65000,1,636750,13138,1,TM,3,WEB,0,23040001,"[1, 95, 242]",
HD.636730.2304.0001,12,,2024-03-18 09:49:36,btcom,260000,4,636730,9580,1,TM,3,WEB,0,23040001,"[1, 95, 242]",
HD.635380.2304.0002,12,,2024-03-18 10:32:46,btcom,130000,2,635380,19033,1,TM,3,WEB,0,23040002,"[1, 95, 169]",
HD.637170.2304.0001,12,,2024-03-18 15:24:57,btcom,66000,1,637170,17221,1,TM,3,WEB,0,23040001,"[1, 95, 338]",
HD.006366.2304.0001,12,,2024-03-18 09:13:24,btcom,660000,11,006366,171,1,TM,3,WEB,0,23040001,"[1, 95]",
HD.632090.2304.0001,12,,2024-03-18 17:57:39,btcom,455000,7,632090,11253,1,TM,3,WEB,0,23040001,"[1, 95, 337]",
HD.632330.2304.0001,12,,2024-03-18 17:55:18,btcom,1300000,20,632330,7171,1,TM,3,WEB,0,23040001,"[1, 95, 337]",
HD.637460.2304.0002,12,,2024-03-18 08:23:40,btcom,462000,7,637460,6605,1,TM,3,WEB,0,23040002,"[1, 95, 241]",
HD.635380.2304.0001,12,,2024-03-18 10:54:12,btcom,130000,2,635380,19033,1,TM,3,WEB,0,23040001,"[1, 95, 169]",
HD.006366.VPH.2304.0001,12,,2024-03-18 15:27:04,btcom,260000,4,006366.VPH,15369,1,TM,3,WEB,0,23040001,"[1, 95, 171]",
HD.637515.2304.0001,12,,2024-03-18 10:28:37,btcom,990000,15,637515,10056,1,TM,3,WEB,0,23040001,"[1, 95, 241]",
HD.637440.2304.0001,12,,2024-03-18 10:17:57,btcom,990000,15,637440,6492,1,TM,3,WEB,0,23040001,"[1, 95, 241]",
HD.637560.2304.0001,12,,2024-03-18 10:12:14,btcom,198000,3,637560,13135,1,TM,3,WEB,0,23040001,"[1, 95, 241]",
HD.637460.2304.0001,12,,2024-03-18 10:09:14,btcom,528000,8,637460,6605,1,TM,3,WEB,0,23040001,"[1, 95, 241]",
HD.637490.2304.0001,12,,2024-03-18 10:03:24,btcom,264000,4,637490,6606,1,TM,3,WEB,0,23040001,"[1, 95, 241]",
HD.637514.2304.0001,12,,2024-03-18 09:56:52,btcom,330000,5,637514,10055,1,TM,3,WEB,0,23040001,"[1, 95, 241]",
HD.637510.2304.0001,12,,2024-03-18 09:49:58,btcom,594000,9,637510,9579,1,TM,3,WEB,0,23040001,"[1, 95, 241]",
