discount_rate,quantity_change,issue_type,issue_code,price,invoice_code,product_code,discount,quantity,unit,pkg_quantity
"[15, 0, 0]",0,1,Bán,113400,HD.233013.2403.0005,DAUAN1014,"[192780, 226800, 226800]",2,Chai,0.3333333333333333
"[24.5, 0, 0]",0,1,Bán,42000,HD.233013.2403.0005,LX220106,"[63420, 84000, 84000]",2,Chai,0.1666666666666666
"[24.5, 0, 0]",0,1,Bán,30000,HD.233013.2403.0005,0515B,"[45300, 60000, 60000]",2,Túi,0.1111111111111111
"[24.5, 0, 0]",0,1,Bán,60000,HD.253200.2403.0008,0707B,"[45300, 60000, 60000]",1,Túi,0.125
"[24.5, 0, 0]",0,1,Bán,30000,HD.261720.2403.0001,0515B,"[407700, 540000, 540000]",18,Túi,1.0
"[24.5, 0, 0]",0,1,Bán,133000,HD.272540.2403.0008,0516B,"[100415, 133000, 133000]",1,Can,0.25
"[24.5, 0, 0]",0,1,Bán,60000,HD.291081.2403.0003,0707B,"[362400, 480000, 480000]",8,Túi,1.0
"[24.5, 0, 0]",0,1,Bán,42000,HD.291081.2403.0003,LX220106,"[380520, 504000, 504000]",12,Chai,1.0
"[24.5, 0, 0]",0,1,Bán,42000,HD.291081.2403.0004,LX220106,"[380520, 504000, 504000]",12,Chai,1.0
"[24.5, 0, 0]",0,1,Bán,133000,HD.315224.2403.0001,0516B,"[301245, 399000, 399000]",3,Can,0.75
"[15, 0, 0]",0,1,Bán,19500,HD.323330.2403.0002,KHANKR2,"[33150, 39000, 39000]",2,Gói,0.04
"[15, 0, 0]",0,1,Bán,76000,HD.323330.2403.0002,GIAY1003,"[64600, 76000, 76000]",1,Túi,0.1
"[24.5, 0, 0]",0,1,Bán,60000,HD.323330.2403.0002,0707B,"[45300, 60000, 60000]",1,Túi,0.125
"[24.5, 0, 0]",0,1,Bán,159000,HD.323330.2403.0002,0318B,"[120045, 159000, 159000]",1,Can,0.25
"[20, 0, 0]",0,1,Bán,3450,HD.363630.2403.0001,BOTCANH02,"[5520, 6900, 6900]",2,Gói,0.04
"[24.5, 0, 0]",0,1,Bán,35000,HD.363630.2403.0002,KDR10309,"[264250, 350000, 350000]",10,Tuýp,0.4166666666666667
"[24.5, 0, 0]",0,1,Bán,133000,HD.363630.2403.0003,0516B,"[100415, 133000, 133000]",1,Can,0.25
