code,status,issue_on,created_on,org,total_value,total_quantity,src_stock_code,src_stock,vendor_id,payment_type,note_type,channel,total_discount,seq,src_ancestors,so_chung_tu
HD.176100.2403.0008,12,,2024-03-19 07:51:34,btcom,181000,3,176100,1171,1,TM,3,VNPOST,0,24030008,"[33, 945, 1169]",XKB1710033681
HD.247341.2403.0002,12,,2024-03-19 07:51:34,btcom,377500,4,247341,2326,1,TM,3,VNPOST,0,24030002,"[33, 2128, 2305]",XKB2410019597
HD.353390.2403.0001,12,,2024-03-19 07:51:34,btcom,30000,1,353390,4338,1,TM,3,VNPOST,0,24030001,"[33, 4211, 4326]",XKB3510075943
HD.353390.2403.0002,12,,2024-03-19 07:51:34,btcom,120000,4,353390,4338,1,TM,3,VNPOST,0,24030002,"[33, 4211, 4326]",XKB3510075944
HD.353390.2403.0003,12,,2024-03-19 07:51:34,btcom,149000,2,353390,4338,1,TM,3,VNPOST,0,24030003,"[33, 4211, 4326]",XKB3510075945
HD.353390.2403.0004,12,,2024-03-19 07:51:34,btcom,102000,3,353390,4338,1,TM,3,VNPOST,0,24030004,"[33, 4211, 4326]",XKB3510075946
HD.353390.2403.0005,12,,2024-03-19 07:51:34,btcom,126000,2,353390,4338,1,TM,3,VNPOST,0,24030005,"[33, 4211, 4326]",XKB3510075947
HD.381490.2403.0002,12,,2024-03-19 07:51:34,btcom,574000,11,381490,4712,1,TM,3,VNPOST,0,24030002,"[33, 4695, 4699]",XKB3810036342
HD.412220.2403.0002,12,,2024-03-19 07:51:34,btcom,576000,24,412220,5124,1,TM,3,VNPOST,0,24030002,"[33, 5095, 5113]",XKB4110054030
HD.414350.2403.0002,12,,2024-03-19 07:51:34,btcom,300000,10,414350,5266,1,TM,3,VNPOST,0,24030002,"[33, 5095, 5253]",XKB4110054031
HD.416490.2403.0005,12,,2024-03-19 07:51:34,btcom,53000,2,416490,5393,1,TM,3,VNPOST,0,24030005,"[33, 5095, 5365]",XKB4110054029
HD.412190.2403.0002,12,,2024-03-19 07:51:35,btcom,1605000,104,412190,5122,1,TM,3,VNPOST,0,24030002,"[33, 5095, 5113]",XKB4110054033
HD.413920.2403.0001,12,,2024-03-19 07:51:34,btcom,302000,3,413920,5241,1,TM,3,VNPOST,0,24030001,"[33, 5095, 5211]",XKB4110054032
HD.434090.2403.0003,12,,2024-03-19 07:51:35,btcom,543600,9,434090,5830,1,TM,3,VNPOST,0,24030003,"[33, 5697, 5823]",XKB4310018198
HD.452307.2403.0001,12,,2024-03-19 07:51:35,btcom,1920000,32,452307,18598,1,TM,3,VNPOST,0,24030001,"[33, 5874, 6386]",XKB4400185539
HD.460000.2403.0001,12,,2024-03-19 07:51:35,btcom,1964800,28,460000,6629,1,TM,3,VNPOST,0,24030001,"[33, 6623, 6627]",XKB4610155929
HD.465610.2403.0003,12,,2024-03-19 07:51:35,btcom,972000,12,465610,6784,1,TM,3,VNPOST,0,24030003,"[33, 6623, 6761]",XKB4610155931
HD.468710.2403.0004,12,,2024-03-19 07:51:35,btcom,1794000,25,468710,6903,1,TM,3,VNPOST,0,24030004,"[33, 6623, 6880]",XKB4610155932
HD.471561.2403.0007,12,,2024-03-19 07:51:35,btcom,651000,10,471561,6986,1,TM,3,VNPOST,0,24030007,"[33, 6623, 6972]",XKB4610155928
