discount_rate,quantity_change,issue_type,issue_code,price,invoice_code,product_code,discount,quantity,unit,pkg_quantity
"[15, 0, 0]",0,1,Bán,12800,HD.142134.2403.0001,KHANKR1,"[43520, 51200, 51200]",4,Gói,0.1
"[24.5, 0, 0]",0,1,Bán,10500,HD.142134.2403.0001,0311B,"[7927.5, 10500, 10500]",1,Túi,0.0833333333333333
"[24.5, 0, 0]",0,1,Bán,173000,HD.142134.2403.0002,VL110302,"[130615, 173000, 173000]",1,Can,0.25
"[24.5, 0, 0]",0,1,Bán,145000,HD.142134.2403.0003,NGCM036002,"[109475, 145000, 145000]",1,Túi,0.25
"[24.5, 0, 0]",0,1,Bán,38000,HD.271500.2403.0054,0512B,"[28690, 38000, 38000]",1,Chai,0.0833333333333333
"[24.5, 0, 0]",0,1,Bán,159000,HD.297850.2403.0007,0318B,"[240090, 318000, 318000]",2,Can,0.5
"[24.5, 0, 0]",0,1,Bán,38000,HD.297850.2403.0008,0512B,"[114760, 152000, 152000]",4,Chai,0.3333333333333333
"[24.5, 0, 0]",0,1,Bán,60000,HD.297850.2403.0009,0707B,"[45300, 60000, 60000]",1,Túi,0.125
"[24.5, 0, 0]",0,1,Bán,74500,HD.297850.2403.0010,N0402B,"[56247.5, 74500, 74500]",1,Túi,0.125
"[24.5, 0, 0]",0,1,Bán,159000,HD.354330.2403.0001,0318B,"[120045, 159000, 159000]",1,Can,0.25
"[20, 0, 0]",0,1,Bán,3450,HD.354330.2403.0001,BOTCANH02,"[27600, 34500, 34500]",10,Gói,0.2
"[24.5, 0, 0]",0,1,Bán,34000,HD.354330.2403.0001,LX220713,"[128350, 170000, 170000]",5,Chai,0.4166666666666667
"[24.5, 0, 0]",0,1,Bán,74500,HD.354330.2403.0001,N0402B,"[56247.5, 74500, 74500]",1,Túi,0.125
"[24.5, 0, 0]",0,1,Bán,60000,HD.354330.2403.0001,0707B,"[135900, 180000, 180000]",3,Túi,0.375
"[24.5, 0, 0]",0,1,Bán,133000,HD.354330.2403.0001,0516B,"[100415, 133000, 133000]",1,Can,0.25
"[15, 0, 0]",0,1,Bán,315000,HD.381690.2403.0001,DAUAN1015,"[267750, 315000, 315000]",1,Chai,0.25
"[24.5, 0, 0]",0,1,Bán,173000,HD.381690.2403.0001,BTCBNG0302,"[261230, 346000, 346000]",2,Combo,0.5
"[24.5, 0, 0]",0,1,Bán,39000,HD.381690.2403.0001,LX220111,"[235560, 312000, 312000]",8,Chai,0.6666666666666666
"[24.5, 0, 0]",0,1,Bán,42000,HD.381690.2403.0001,LX220106,"[95130, 126000, 126000]",3,Chai,0.25
"[24.5, 0, 0]",0,1,Bán,109000,HD.381690.2403.0001,VL220211,"[493770, 654000, 654000]",6,Can,1.0
"[24.5, 0, 0]",0,1,Bán,74500,HD.381690.2403.0001,N0402B,"[506227.5, 670500, 670500]",9,Túi,1.125
"[15, 0, 0]",0,1,Bán,113400,HD.381690.2403.0001,DAUAN1014,"[1735020, 2041200, 2041200]",18,Chai,3.0
"[24.5, 0, 0]",0,1,Bán,60000,HD.381690.2403.0001,0707B,"[634200, 840000, 840000]",14,Túi,1.75
"[24.5, 0, 0]",0,1,Bán,133000,HD.413220.2403.0003,0516B,"[100415, 133000, 133000]",1,Can,0.25
"[15, 0, 0]",0,1,Bán,76000,HD.413220.2403.0003,GIAY1003,"[129200, 152000, 152000]",2,Túi,0.2
"[24.5, 0, 0]",0,1,Bán,10500,HD.413220.2403.0003,0311B,"[7927.5, 10500, 10500]",1,Túi,0.0833333333333333
"[24.5, 0, 0]",0,1,Bán,42000,HD.413220.2403.0003,LX220106,"[31710, 42000, 42000]",1,Chai,0.0833333333333333
"[15, 0, 0]",0,1,Bán,113400,HD.413220.2403.0003,DAUAN1014,"[192780, 226800, 226800]",2,Chai,0.3333333333333333
"[24.5, 0, 0]",0,1,Bán,133000,HD.415770.2403.0002,0516B,"[200830, 266000, 266000]",2,Can,0.5
"[24.5, 0, 0]",0,1,Bán,173000,HD.415770.2403.0002,BTCBNG0302,"[130615, 173000, 173000]",1,Combo,0.25
"[24.5, 0, 0]",0,1,Bán,35000,HD.415770.2403.0002,KDR10309,"[52850, 70000, 70000]",2,Tuýp,0.0833333333333333
"[24.5, 0, 0]",0,1,Bán,159000,HD.413600.2403.0013,0318B,"[120045, 159000, 159000]",1,Can,0.25
"[24.5, 0, 0]",0,1,Bán,34000,HD.415650.2403.0002,LX220711,"[102680, 136000, 136000]",4,Chai,0.3333333333333333
"[24.5, 0, 0]",0,1,Bán,74500,HD.415650.2403.0002,N0402B,"[168742.5, 223500, 223500]",3,Túi,0.375
"[15, 0, 0]",0,1,Bán,113400,HD.415650.2403.0002,DAUAN1014,"[96390, 113400, 113400]",1,Chai,0.1666666666666666
"[24.5, 0, 0]",0,1,Bán,42000,HD.415650.2403.0002,LX220106,"[31710, 42000, 42000]",1,Chai,0.0833333333333333
"[20, 0, 0]",0,1,Bán,3450,HD.415650.2403.0002,BOTCANH02,"[38640, 48300, 48300]",14,Gói,0.28
"[20, 0, 0]",0,1,Bán,29000,HD.415670.2403.0002,HV221903,"[185600, 232000, 232000]",8,Chai,1.3333333333333333
"[15, 0, 0]",0,1,Bán,63000,HD.415670.2403.0002,DAUAN1012,"[267750, 315000, 315000]",5,Chai,0.3333333333333333
"[24.5, 0, 0]",0,1,Bán,74500,HD.415670.2403.0002,N0402B,"[56247.5, 74500, 74500]",1,Túi,0.125
