code,status,issue_on,created_on,org,total_value,total_quantity,src_stock_code,src_stock,vendor_id,payment_type,note_type,channel,total_discount,seq,src_ancestors,so_chung_tu
HD.142134.2403.0001,12,,2024-03-20 07:51:39,btcom,61700,5,142134,20210,1,TM,3,VNPOST,0,24030001,"[33, 19818, 19848]",XKB2100000446
HD.142134.2403.0002,12,,2024-03-20 07:51:39,btcom,173000,1,142134,20210,1,TM,3,VNPOST,0,24030002,"[33, 19818, 19848]",XKB2100000447
HD.142134.2403.0003,12,,2024-03-20 07:51:39,btcom,145000,1,142134,20210,1,TM,3,VNPOST,0,24030003,"[33, 19818, 19848]",XKB2100000448
HD.271500.2403.0054,12,,2024-03-20 07:51:39,btcom,38000,1,271500,2739,1,TM,3,VNPOST,0,24030054,"[33, 2709, 2737]",XKB2710041454
HD.297850.2403.0007,12,,2024-03-20 07:51:39,btcom,318000,2,297850,3378,1,TM,3,VNPOST,0,24030007,"[33, 3112, 3365]",XKB2910053032
HD.297850.2403.0008,12,,2024-03-20 07:51:39,btcom,152000,4,297850,3378,1,TM,3,VNPOST,0,24030008,"[33, 3112, 3365]",XKB2910053033
HD.297850.2403.0009,12,,2024-03-20 07:51:39,btcom,60000,1,297850,3378,1,TM,3,VNPOST,0,24030009,"[33, 3112, 3365]",XKB2910053034
HD.297850.2403.0010,12,,2024-03-20 07:51:39,btcom,74500,1,297850,3378,1,TM,3,VNPOST,0,24030010,"[33, 3112, 3365]",XKB2910053035
HD.354330.2403.0001,12,,2024-03-20 07:51:39,btcom,751000,21,354330,4390,1,TM,3,VNPOST,0,24030001,"[33, 4211, 4370]",XKB3510075981
HD.381690.2403.0001,12,,2024-03-20 07:51:39,btcom,5304700,61,381690,4725,1,TM,3,VNPOST,0,24030001,"[33, 4695, 4714]",XKB3810036395
HD.413220.2403.0003,12,,2024-03-20 07:51:39,btcom,564300,7,413220,5196,1,TM,3,VNPOST,0,24030003,"[33, 5095, 5160]",XKB4110054166
HD.415770.2403.0002,12,,2024-03-20 07:51:39,btcom,509000,5,415770,19040,1,TM,3,VNPOST,0,24030002,"[33, 5095, 5099]",XKB4110054165
HD.413600.2403.0013,12,,2024-03-20 07:51:40,btcom,159000,1,413600,5213,1,TM,3,VNPOST,0,24030013,"[33, 5095, 5211]",XKB4110054170
