discount_rate,quantity_change,issue_type,issue_code,price,invoice_code,product_code,discount,quantity,unit,pkg_quantity
"[1.5152, 0, 0]",0,1,Bán,65000,HD.006381.2303.0001,DAUR025001,"[448105.8400000001, 455000, 455000]",7,Chai,0.47
"[1.5152, 0, 0]",0,1,Bán,66000,HD.636100.2303.0001,DAUR025001,"[389999.8080000001, 396000, 396000]",6,Chai,0.4
"[1.5152, 0, 0]",0,1,Bán,66000,HD.006360.VPH.2303.0003,DAUR025001,"[324999.84, 330000, 330000]",5,Chai,0.33
"[1.5152, 0, 0]",0,1,Bán,66000,HD.636020.2303.0002,DAUR025001,"[454999.77600000007, 462000, 462000]",7,Chai,0.47
"[1.5152, 0, 0]",0,1,Bán,65000,HD.635421.2303.0001,DAUR025001,"[640151.2000000001, 650000, 650000]",10,Chai,0.67
"[1.5152, 0, 0]",0,1,Bán,65000,HD.635380.2303.0001,DAUR025001,"[128030.24, 130000, 130000]",2,Chai,0.13
"[1.5152, 0, 0]",0,1,Bán,65000,HD.635470.2303.0001,DAUR025001,"[1216287.2800000003, 1235000, 1235000]",19,Chai,1.27
"[1.5152, 0, 0]",0,1,Bán,65000,HD.635220.2303.0001,DAUR025001,"[960226.8000000002, 975000, 975000]",15,Chai,1.0
"[1.5152, 0, 0]",0,1,Bán,66000,HD.637100.2303.0001,DAUR025001,"[974999.5200000001, 990000, 990000]",15,Chai,1.0
"[1.5152, 0, 0]",0,1,Bán,66000,HD.637060.2303.0001,DAUR025001,"[974999.5200000001, 990000, 990000]",15,Chai,1.0
"[1.5152, 0, 0]",0,1,Bán,65000,HD.636640.2303.0001,DAUR025001,"[640151.2000000001, 650000, 650000]",10,Chai,0.67
"[1.5152, 0, 0]",0,1,Bán,65000,HD.636870.2303.0001,DAUR025001,"[192045.36000000002, 195000, 195000]",3,Chai,0.2
"[0, 0, 0]",0,2,KM,0,HD.006360.2303.0001,SUA1108,"[0, 0, 0]",20,Túi,0.67
"[1.5152, 0, 0]",0,1,Bán,65000,HD.632090.2303.0001,DAUR025001,"[640151.2000000001, 650000, 650000]",10,Chai,0.67
"[15, 0, 0]",0,1,Bán,9500,HD.000022.VPT.2303.0001,773056,"[3230000, 3800000, 3800000]",400,Gói,8.0
"[1.5152, 0, 0]",0,1,Bán,66000,HD.637200.2303.0001,DAUR025001,"[584999.712, 594000, 594000]",9,Chai,0.6
"[1.5152, 0, 0]",0,1,Bán,66000,HD.636120.2303.0001,DAUR025001,"[1624999.2000000004, 1650000, 1650000]",25,Chai,1.67
"[1.5152, 0, 0]",0,1,Bán,66000,HD.636150.2303.0001,DAUR025001,"[649999.68, 660000, 660000]",10,Chai,0.67
"[1.5152, 0, 0]",0,1,Bán,66000,HD.636020.2303.0001,DAUR025001,"[649999.68, 660000, 660000]",10,Chai,0.67
"[1.5152, 0, 0]",0,1,Bán,66000,HD.006360.VPH.2303.0002,DAUR025001,"[1429999.2960000003, 1452000, 1452000]",22,Chai,1.47
"[10, 0, 0]",0,1,Bán,28000,HD.006300.2303.0001,717205,"[50400, 56000, 56000]",2,Gói,0.1
"[1.5152, 0, 0]",0,1,Bán,65000,HD.631080.2303.0001,DAUR025001,"[512120.96, 520000, 520000]",8,Chai,0.53
"[1.5152, 0, 0]",0,1,Bán,65000,HD.631100.2303.0001,DAUR025001,"[64015.12, 65000, 65000]",1,Chai,0.07
"[1.5152, 0, 0]",0,1,Bán,66000,HD.006360.VPH.2303.0001,DAUR025001,"[1494999.2640000002, 1518000, 1518000]",23,Chai,1.53
