code,status,issue_on,created_on,org,total_value,total_quantity,src_stock_code,src_stock,vendor_id,payment_type,note_type,channel,total_discount,seq,src_ancestors,so_chung_tu
HD.223300.2403.0001,12,,2024-03-21 07:52:15,btcom,368000,8,223300,1829,1,TM,3,VNPOST,0,24030001,"[33, 1692, 1822]",XKB2200027587
HD.305170.2403.0001,12,,2024-03-21 07:52:15,btcom,599700,23,305170,3562,1,TM,3,VNPOST,0,24030001,"[33, 3432, 3555]",XKB3010044361
HD.382530.2403.0004,12,,2024-03-21 07:52:15,btcom,133050,13,382530,4758,1,TM,3,VNPOST,0,24030004,"[33, 4695, 4754]",XKB3810036439
HD.382530.2403.0005,12,,2024-03-21 07:52:15,btcom,267350,28,382530,4758,1,TM,3,VNPOST,0,24030005,"[33, 4695, 4754]",XKB3810036440
HD.447460.2403.0011,12,,2024-03-21 07:52:16,btcom,1396750,65,447460,6223,1,TM,3,VNPOST,0,24030011,"[33, 5874, 6191]",XKB4400185934
HD.447900.2403.0003,12,,2024-03-21 07:52:16,btcom,789000,7,447900,6243,1,TM,3,VNPOST,0,24030003,"[33, 5874, 6224]",XKB4400185936
HD.448740.2403.0004,12,,2024-03-21 07:52:16,btcom,692000,4,448740,6280,1,TM,3,VNPOST,0,24030004,"[33, 5874, 6275]",XKB4400185939
HD.455300.2403.0002,12,,2024-03-21 07:52:15,btcom,327500,5,455300,6545,1,TM,3,VNPOST,0,24030002,"[33, 5874, 6532]",XKB4400185933
HD.456020.2403.0006,12,,2024-03-21 07:52:16,btcom,638500,7,456020,6576,1,TM,3,VNPOST,0,24030006,"[33, 5874, 6553]",XKB4400185937
HD.457230.2403.0002,12,,2024-03-21 07:52:16,btcom,473000,7,457230,5916,1,TM,3,VNPOST,0,24030002,"[33, 5874, 5880]",XKB4400185935
HD.466640.2403.0005,12,,2024-03-21 07:52:16,btcom,109000,1,466640,6824,1,TM,3,VNPOST,0,24030005,"[33, 6623, 6800]",XKB4610156361
HD.471500.2403.0009,12,,2024-03-21 07:52:16,btcom,97500,5,471500,6981,1,TM,3,VNPOST,0,24030009,"[33, 6623, 6972]",XKB4610156363
HD.472400.2403.0003,12,,2024-03-21 07:52:16,btcom,3514900,70,472400,7021,1,TM,3,VNPOST,0,24030003,"[33, 6623, 7019]",XKB4610156364
HD.476560.2403.0008,12,,2024-03-21 07:52:16,btcom,627500,6,476560,7204,1,TM,3,VNPOST,0,24030008,"[33, 6623, 7154]",XKB4610156362
HD.486040.2403.0010,12,,2024-03-21 07:52:16,btcom,189000,3,486040,7425,1,TM,3,VNPOST,0,24030010,"[33, 7241, 7403]",XKB4810126415
HD.487390.2403.0012,12,,2024-03-21 07:52:16,btcom,110000,3,487390,7479,1,TM,3,VNPOST,0,24030012,"[33, 7241, 7456]",XKB4810126417
HD.487830.2403.0007,12,,2024-03-21 07:52:16,btcom,332000,5,487830,7495,1,TM,3,VNPOST,0,24030007,"[33, 7241, 7482]",XKB4810126416
HD.488590.2403.0005,12,,2024-03-21 07:52:16,btcom,1026000,27,488590,7522,1,TM,3,VNPOST,0,24030005,"[33, 7241, 7513]",XKB4810126414
HD.511720.2403.0001,12,,2024-03-21 07:52:16,btcom,1400100,28,511720,7609,1,TM,3,VNPOST,0,24030001,"[33, 7574, 7594]",XKB5110031206
HD.523340.2403.0001,12,,2024-03-21 07:52:16,btcom,3669800,94,523340,7863,1,TM,3,VNPOST,0,24030001,"[33, 7730, 7858]",XKB5210023407
HD.571650.2403.0008,12,,2024-03-21 07:52:16,btcom,863500,10,571650,8505,1,TM,3,VNPOST,0,24030008,"[33, 8461, 8495]",XKB5710037681
HD.622040.2403.0012,12,,2024-03-21 07:52:17,btcom,380000,10,622040,9320,1,TM,3,VNPOST,0,24030012,"[33, 9271, 9307]",XKB6210064260
HD.622040.2403.0013,12,,2024-03-21 07:52:17,btcom,84000,2,622040,9320,1,TM,3,VNPOST,0,24030013,"[33, 9271, 9307]",XKB6210064262
