discount_rate,quantity_change,issue_type,issue_code,price,invoice_code,product_code,discount,quantity,unit,pkg_quantity
"[24.5, 0, 0]",0,1,Bán,30000,HD.223300.2403.0001,0515B,"[90600, 120000, 120000]",4,Túi,0.2222222222222222
"[15, 0, 0]",0,1,Bán,63000,HD.223300.2403.0001,DAUAN1012,"[160650, 189000, 189000]",3,Chai,0.2
"[24.5, 0, 0]",0,1,Bán,59000,HD.223300.2403.0001,LX220714,"[44545, 59000, 59000]",1,Chai,0.125
"[24.5, 0, 0]",0,1,Bán,34000,HD.305170.2403.0001,N0404B,"[179690, 238000, 238000]",7,Túi,0.35
"[20, 0, 0]",0,1,Bán,3450,HD.305170.2403.0001,BOTCANH02,"[16560, 20700, 20700]",6,Gói,0.12
"[24.5, 0, 0]",0,1,Bán,30000,HD.305170.2403.0001,0515B,"[158550, 210000, 210000]",7,Túi,0.3888888888888889
"[24.5, 0, 0]",0,1,Bán,107000,HD.305170.2403.0001,0319B,"[80785, 107000, 107000]",1,Chai,0.125
"[24.5, 0, 0]",0,1,Bán,12000,HD.305170.2403.0001,XPIZ008001,"[18120, 24000, 24000]",2,Bánh,0.0416666666666666
"[24.5, 0, 0]",0,1,Bán,30000,HD.382530.2403.0004,0515B,"[22650, 30000, 30000]",1,Túi,0.0555555555555555
"[20, 0, 0]",0,1,Bán,3450,HD.382530.2403.0004,BOTCANH02,"[24840, 31050, 31050]",9,Gói,0.18
"[24.5, 0, 0]",0,1,Bán,24000,HD.382530.2403.0004,LX220110,"[54360, 72000, 72000]",3,Chai,0.25
"[24.5, 0, 0]",0,1,Bán,30000,HD.382530.2403.0005,0515B,"[45300, 60000, 60000]",2,Túi,0.1111111111111111
"[24.5, 0, 0]",0,1,Bán,34000,HD.382530.2403.0005,N0404B,"[51340, 68000, 68000]",2,Túi,0.1
"[20, 0, 0]",0,1,Bán,3450,HD.382530.2403.0005,BOTCANH02,"[63480, 79350, 79350]",23,Gói,0.46
"[24.5, 0, 0]",0,1,Bán,60000,HD.382530.2403.0005,0707B,"[45300, 60000, 60000]",1,Túi,0.125
"[24.5, 0, 0]",0,1,Bán,42000,HD.447460.2403.0011,LX220106,"[31710, 42000, 42000]",1,Chai,0.0833333333333333
"[24.5, 0, 0]",0,1,Bán,32500,HD.447460.2403.0011,ICK021602,"[24537.5, 32500, 32500]",1,Tuýp,0.0416666666666666
"[20, 0, 0]",0,1,Bán,36000,HD.447460.2403.0011,TKU020701,"[28800, 36000, 36000]",1,Gói,0.0833333333333333
"[24.5, 0, 0]",0,1,Bán,15000,HD.447460.2403.0011,SV221303,"[22650, 30000, 30000]",2,Bánh,0.0833333333333333
"[24.5, 0, 0]",0,1,Bán,74500,HD.447460.2403.0011,N0402B,"[168742.5, 223500, 223500]",3,Túi,0.375
"[24.5, 0, 0]",0,1,Bán,34000,HD.447460.2403.0011,N0404B,"[102680, 136000, 136000]",4,Túi,0.2
"[24.5, 0, 0]",0,1,Bán,30000,HD.447460.2403.0011,0515B,"[113250, 150000, 150000]",5,Túi,0.2777777777777778
"[24.5, 0, 0]",0,1,Bán,36000,HD.447460.2403.0011,LX220107,"[27180, 36000, 36000]",1,Chai,0.0833333333333333
"[24.5, 0, 0]",0,1,Bán,173000,HD.447460.2403.0011,VL110302,"[130615, 173000, 173000]",1,Can,0.25
"[15, 0, 0]",0,1,Bán,63000,HD.447460.2403.0011,DAUAN1012,"[160650, 189000, 189000]",3,Chai,0.2
"[20, 0, 0]",0,1,Bán,3450,HD.447460.2403.0011,BOTCANH02,"[96600, 120750, 120750]",35,Gói,0.7
"[25, 0, 0]",0,1,Bán,28500,HD.447460.2403.0011,HNDS015001,"[171000, 228000, 228000]",8,Gói,0.6666666666666666
"[24.5, 0, 0]",0,1,Bán,60000,HD.447900.2403.0003,0707B,"[45300, 60000, 60000]",1,Túi,0.125
"[24.5, 0, 0]",0,1,Bán,194000,HD.447900.2403.0003,N0403B,"[439410, 582000, 582000]",3,Túi,1.0
"[15, 0, 0]",0,1,Bán,63000,HD.447900.2403.0003,DAUAN1012,"[53550, 63000, 63000]",1,Chai,0.0666666666666666
"[24.5, 0, 0]",0,1,Bán,42000,HD.447900.2403.0003,LX220106,"[63420, 84000, 84000]",2,Chai,0.1666666666666666
"[24.5, 0, 0]",0,1,Bán,173000,HD.448740.2403.0004,VL110302,"[522460, 692000, 692000]",4,Can,1.0
"[24.5, 0, 0]",0,1,Bán,59000,HD.455300.2403.0002,ILS010401,"[133635, 177000, 177000]",3,Chai,0.5
"[15, 0, 0]",0,1,Bán,76000,HD.455300.2403.0002,GIAY1003,"[64600, 76000, 76000]",1,Túi,0.1
"[24.5, 0, 0]",0,1,Bán,74500,HD.455300.2403.0002,N0402B,"[56247.5, 74500, 74500]",1,Túi,0.125
"[24.5, 0, 0]",0,1,Bán,74500,HD.456020.2403.0006,N0402B,"[281237.5, 372500, 372500]",5,Túi,0.625
"[24.5, 0, 0]",0,1,Bán,133000,HD.456020.2403.0006,0516B,"[200830, 266000, 266000]",2,Can,0.5
"[24.5, 0, 0]",0,1,Bán,34000,HD.457230.2403.0002,N0404B,"[51340, 68000, 68000]",2,Túi,0.1
"[24.5, 0, 0]",0,1,Bán,133000,HD.457230.2403.0002,0516B,"[100415, 133000, 133000]",1,Can,0.25
"[15, 0, 0]",0,1,Bán,76000,HD.457230.2403.0002,GIAY1003,"[129200, 152000, 152000]",2,Túi,0.2
"[24.5, 0, 0]",0,1,Bán,60000,HD.457230.2403.0002,0707B,"[90600, 120000, 120000]",2,Túi,0.25
"[24.5, 0, 0]",0,1,Bán,109000,HD.466640.2403.0005,VL220211,"[82295, 109000, 109000]",1,Can,0.1666666666666666
"[15, 0, 0]",0,1,Bán,19500,HD.471500.2403.0009,KHANKR2,"[82875, 97500, 97500]",5,Gói,0.1
"[20, 0, 0]",0,1,Bán,25700,HD.472400.2403.0003,MALAY030101,"[164480, 205600, 205600]",8,Lon,0.3333333333333333
"[25, 0, 0]",0,1,Bán,28500,HD.472400.2403.0003,HNDS015001,"[21375, 28500, 28500]",1,Gói,0.0833333333333333
"[15, 0, 0]",0,1,Bán,315000,HD.472400.2403.0003,DAUAN1015,"[535500, 630000, 630000]",2,Chai,0.5
"[15, 0, 0]",0,1,Bán,113400,HD.472400.2403.0003,DAUAN1014,"[96390, 113400, 113400]",1,Chai,0.1666666666666666
"[15, 0, 0]",0,1,Bán,63000,HD.472400.2403.0003,DAUAN1012,"[267750, 315000, 315000]",5,Chai,0.3333333333333333
"[24.5, 0, 0]",0,1,Bán,35000,HD.472400.2403.0003,KDR10156,"[26425, 35000, 35000]",1,Tuýp,0.0416666666666666
"[24.5, 0, 0]",0,1,Bán,39000,HD.472400.2403.0003,LX220111,"[29445, 39000, 39000]",1,Chai,0.0833333333333333
"[24.5, 0, 0]",0,1,Bán,42000,HD.472400.2403.0003,LX220106,"[317100, 420000, 420000]",10,Chai,0.8333333333333334
"[24.5, 0, 0]",0,1,Bán,109000,HD.472400.2403.0003,VL220211,"[82295, 109000, 109000]",1,Can,0.1666666666666666
"[24.5, 0, 0]",0,1,Bán,34000,HD.472400.2403.0003,N0404B,"[256700, 340000, 340000]",10,Túi,0.5
"[24.5, 0, 0]",0,1,Bán,60000,HD.472400.2403.0003,0707B,"[90600, 120000, 120000]",2,Túi,0.25
"[24.5, 0, 0]",0,1,Bán,133000,HD.472400.2403.0003,0516B,"[401660, 532000, 532000]",4,Can,1.0
"[24.5, 0, 0]",0,1,Bán,38000,HD.472400.2403.0003,0512B,"[86070, 114000, 114000]",3,Chai,0.25
"[24.5, 0, 0]",0,1,Bán,9000,HD.472400.2403.0003,ICK021601,"[13590, 18000, 18000]",2,Tuýp,0.0333333333333333
"[20, 0, 0]",0,1,Bán,36000,HD.472400.2403.0003,TKU020701,"[172800, 216000, 216000]",6,Gói,0.5
"[24.5, 0, 0]",0,1,Bán,7900,HD.472400.2403.0003,TBT020502,"[5964.5, 7900, 7900]",1,Gói,0.0416666666666666
"[24.5, 0, 0]",0,1,Bán,35000,HD.472400.2403.0003,KDR10309,"[79275, 105000, 105000]",3,Tuýp,0.125
"[15, 0, 0]",0,1,Bán,19500,HD.472400.2403.0003,KHANKR2,"[132600, 156000, 156000]",8,Gói,0.16
"[24.5, 0, 0]",0,1,Bán,10500,HD.472400.2403.0003,0311B,"[7927.5, 10500, 10500]",1,Túi,0.0833333333333333
"[24.5, 0, 0]",0,1,Bán,74500,HD.476560.2403.0008,N0402B,"[56247.5, 74500, 74500]",1,Túi,0.125
"[24.5, 0, 0]",0,1,Bán,91000,HD.476560.2403.0008,0209B,"[68705, 91000, 91000]",1,Túi,0.1666666666666666
"[24.5, 0, 0]",0,1,Bán,133000,HD.476560.2403.0008,0516B,"[301245, 399000, 399000]",3,Can,0.75
"[15, 0, 0]",0,1,Bán,63000,HD.476560.2403.0008,DAUAN1012,"[53550, 63000, 63000]",1,Chai,0.0666666666666666
"[15, 0, 0]",0,1,Bán,63000,HD.486040.2403.0010,DAUAN1012,"[160650, 189000, 189000]",3,Chai,0.2
"[24.5, 0, 0]",0,1,Bán,34000,HD.487390.2403.0012,LX220713,"[51340, 68000, 68000]",2,Chai,0.1666666666666666
"[24.5, 0, 0]",0,1,Bán,42000,HD.487390.2403.0012,LX220106,"[31710, 42000, 42000]",1,Chai,0.0833333333333333
"[24.5, 0, 0]",0,1,Bán,38000,HD.487830.2403.0007,0512B,"[86070, 114000, 114000]",3,Chai,0.25
"[24.5, 0, 0]",0,1,Bán,109000,HD.487830.2403.0007,VL220211,"[164590, 218000, 218000]",2,Can,0.3333333333333333
"[24.5, 0, 0]",0,1,Bán,38000,HD.488590.2403.0005,0512B,"[774630, 1026000, 1026000]",27,Chai,2.25
"[20, 0, 0]",0,1,Bán,25700,HD.511720.2403.0001,MALAY030101,"[61680, 77100, 77100]",3,Lon,0.125
"[24.5, 0, 0]",0,1,Bán,39000,HD.511720.2403.0001,LX220111,"[176670, 234000, 234000]",6,Chai,0.5
"[24.5, 0, 0]",0,1,Bán,34000,HD.511720.2403.0001,N0404B,"[128350, 170000, 170000]",5,Túi,0.25
"[24.5, 0, 0]",0,1,Bán,60000,HD.511720.2403.0001,0707B,"[90600, 120000, 120000]",2,Túi,0.25
"[24.5, 0, 0]",0,1,Bán,133000,HD.511720.2403.0001,0516B,"[401660, 532000, 532000]",4,Can,1.0
"[24.5, 0, 0]",0,1,Bán,38000,HD.511720.2403.0001,0512B,"[172140, 228000, 228000]",6,Chai,0.5
"[15, 0, 0]",0,1,Bán,19500,HD.511720.2403.0001,KHANKR2,"[33150, 39000, 39000]",2,Gói,0.04
"[15, 0, 0]",0,1,Bán,19500,HD.523340.2403.0001,KHANKR2,"[49725, 58500, 58500]",3,Gói,0.06
"[20, 0, 0]",0,1,Bán,25700,HD.523340.2403.0001,MALAY030101,"[102800, 128500, 128500]",5,Lon,0.2083333333333333
"[15, 0, 0]",0,1,Bán,93500,HD.523340.2403.0001,BTDAKY0005,"[79475, 93500, 93500]",1,Chai,0.1666666666666666
"[15, 0, 0]",0,1,Bán,50000,HD.523340.2403.0001,BTDAKY0004,"[170000, 200000, 200000]",4,Chai,0.3333333333333333
"[25, 0, 0]",0,1,Bán,57000,HD.523340.2403.0001,HNDS025001,"[42750, 57000, 57000]",1,Gói,0.1666666666666666
"[25, 0, 0]",0,1,Bán,28500,HD.523340.2403.0001,HNDS015001,"[21375, 28500, 28500]",1,Gói,0.0833333333333333
"[20, 0, 0]",0,1,Bán,9900,HD.523340.2403.0001,MBC030501,"[134640, 168300, 168300]",17,Gói,0.34
"[24.5, 0, 0]",0,1,Bán,35000,HD.523340.2403.0001,KDR10309,"[264250, 350000, 350000]",10,Tuýp,0.4166666666666667
