code,status,issue_on,created_on,org,total_value,total_quantity,src_stock_code,src_stock,vendor_id,payment_type,note_type,channel,total_discount,seq,src_ancestors,so_chung_tu
HD.006381.2303.0001,12,,2024-03-17 15:54:26,btcom,455000,7,006381,242,1,TM,3,WEB,0,23030001,"[1, 95]",
HD.636100.2303.0001,12,,2024-03-17 08:42:10,btcom,396000,6,636100,19037,1,TM,3,WEB,0,23030001,"[1, 95, 243]",
HD.006360.VPH.2303.0003,12,,2024-03-17 08:41:33,btcom,330000,5,006360.VPH,10124,1,TM,3,WEB,0,23030003,"[1, 95, 243]",
HD.636020.2303.0002,12,,2024-03-17 08:40:37,btcom,462000,7,636020,11262,1,TM,3,WEB,0,23030002,"[1, 95, 243]",
HD.635421.2303.0001,12,,2024-03-17 14:35:21,btcom,650000,10,635421,11258,1,TM,3,WEB,0,23030001,"[1, 95, 169]",
HD.635380.2303.0001,12,,2024-03-17 14:30:33,btcom,130000,2,635380,19033,1,TM,3,WEB,0,23030001,"[1, 95, 169]",
HD.635470.2303.0001,12,,2024-03-17 14:29:41,btcom,1235000,19,635470,20064,1,TM,3,WEB,0,23030001,"[1, 95, 169]",
HD.635220.2303.0001,12,,2024-03-17 14:26:54,btcom,975000,15,635220,16064,1,TM,3,WEB,0,23030001,"[1, 95, 169]",
HD.637100.2303.0001,12,,2024-03-17 10:43:34,btcom,990000,15,637100,6488,1,TM,3,WEB,0,23030001,"[1, 95, 338]",
HD.637060.2303.0001,12,,2024-03-17 07:43:27,btcom,990000,15,637060,7493,1,TM,3,WEB,0,23030001,"[1, 95, 338]",
HD.636640.2303.0001,12,,2024-03-17 15:35:32,btcom,650000,10,636640,13131,1,TM,3,WEB,0,23030001,"[1, 95, 171]",
HD.636870.2303.0001,12,,2024-03-17 15:33:46,btcom,195000,3,636870,13133,1,TM,3,WEB,0,23030001,"[1, 95, 171]",
HD.006360.2303.0001,12,,2024-03-17 08:10:03,btcom,0,20,006360,243,1,TM,3,WEB,0,23030001,"[1, 95]",
HD.632090.2303.0001,12,,2024-03-17 11:23:55,btcom,650000,10,632090,11253,1,TM,3,WEB,0,23030001,"[1, 95, 337]",
HD.000022.VPT.2303.0001,12,,2024-03-17 15:09:24,btcom,3800000,400,000022.VPT,10098,1,TM,3,WEB,0,23030001,"[1, 48, 805]",
HD.637200.2303.0001,12,,2024-03-17 15:29:25,btcom,594000,9,637200,6490,1,TM,3,WEB,0,23030001,"[1, 95, 338]",
HD.636120.2303.0001,12,,2024-03-17 14:27:20,btcom,1650000,25,636120,11263,1,TM,3,WEB,0,23030001,"[1, 95, 243]",
HD.636150.2303.0001,12,,2024-03-17 14:25:05,btcom,660000,10,636150,19038,1,TM,3,WEB,0,23030001,"[1, 95, 243]",
HD.636020.2303.0001,12,,2024-03-17 14:22:31,btcom,660000,10,636020,11262,1,TM,3,WEB,0,23030001,"[1, 95, 243]",
HD.006360.VPH.2303.0002,12,,2024-03-17 14:13:56,btcom,1452000,22,006360.VPH,10124,1,TM,3,WEB,0,23030002,"[1, 95, 243]",
HD.006300.2303.0001,12,,2024-03-17 15:21:45,btcom,56000,2,006300,337,1,TM,3,WEB,0,23030001,"[1, 95]",
HD.631080.2303.0001,12,,2024-03-17 15:17:39,btcom,520000,8,631080,17354,1,TM,3,WEB,0,23030001,"[1, 95, 337]",
HD.631100.2303.0001,12,,2024-03-17 15:16:47,btcom,65000,1,631100,6599,1,TM,3,WEB,0,23030001,"[1, 95, 337]",
HD.006360.VPH.2303.0001,12,,2024-03-17 15:31:00,btcom,1518000,23,006360.VPH,10124,1,TM,3,WEB,0,23030001,"[1, 95, 243]",
