discount_rate,quantity_change,issue_type,issue_code,price,invoice_code,product_code,discount,quantity,unit,pkg_quantity
"[24.5, 0, 0]",0,1,Bán,91000,HD.176100.2403.0008,0209B,"[68705, 91000, 91000]",1,Túi,0.1666666666666666
"[24.5, 0, 0]",0,1,Bán,60000,HD.176100.2403.0008,0707B,"[45300, 60000, 60000]",1,Túi,0.125
"[24.5, 0, 0]",0,1,Bán,30000,HD.176100.2403.0008,0515B,"[22650, 30000, 30000]",1,Túi,0.0555555555555555
"[24.5, 0, 0]",0,1,Bán,173000,HD.247341.2403.0002,BTCBNG0302,"[130615, 173000, 173000]",1,Combo,0.25
"[24.5, 0, 0]",0,1,Bán,39000,HD.247341.2403.0002,RTTT1101,"[29445, 39000, 39000]",1,Chai,0.0833333333333333
"[24.5, 0, 0]",0,1,Bán,32500,HD.247341.2403.0002,ICK021602,"[24537.5, 32500, 32500]",1,Tuýp,0.0416666666666666
"[24.5, 0, 0]",0,1,Bán,133000,HD.247341.2403.0002,0516B,"[100415, 133000, 133000]",1,Can,0.25
"[24.5, 0, 0]",0,1,Bán,30000,HD.353390.2403.0001,0515B,"[22650, 30000, 30000]",1,Túi,0.0555555555555555
"[24.5, 0, 0]",0,1,Bán,30000,HD.353390.2403.0002,0515B,"[90600, 120000, 120000]",4,Túi,0.2222222222222222
"[24.5, 0, 0]",0,1,Bán,74500,HD.353390.2403.0003,N0402B,"[112495, 149000, 149000]",2,Túi,0.25
"[24.5, 0, 0]",0,1,Bán,34000,HD.353390.2403.0004,N0404B,"[77010, 102000, 102000]",3,Túi,0.15
"[15, 0, 0]",0,1,Bán,63000,HD.353390.2403.0005,DAUAN1012,"[107100, 126000, 126000]",2,Chai,0.1333333333333333
"[24.5, 0, 0]",0,1,Bán,30000,HD.381490.2403.0002,0515B,"[135900, 180000, 180000]",6,Túi,0.3333333333333333
"[24.5, 0, 0]",0,1,Bán,34000,HD.381490.2403.0002,N0404B,"[51340, 68000, 68000]",2,Túi,0.1
"[24.5, 0, 0]",0,1,Bán,133000,HD.381490.2403.0002,0516B,"[200830, 266000, 266000]",2,Can,0.5
"[24.5, 0, 0]",0,1,Bán,60000,HD.381490.2403.0002,0707B,"[45300, 60000, 60000]",1,Túi,0.125
"[24.5, 0, 0]",0,1,Bán,24000,HD.412220.2403.0002,LX220110,"[434880, 576000, 576000]",24,Chai,2.0
